Agnaktor Helm : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Vambraces : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Faulds : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Agnaktor Cap : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Guards : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Coat : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Akatsuki Kabuto : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akatsuki Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akatsuki Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akatsuki Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akatsuki Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Akebono Eboshi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akebono Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akebono Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akebono Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akebono Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Alloy Helm S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
Fudou Koshiate : Gaoren Claw x1, Daora Carapace x2, Rare Scarab x2 : 1 砦蟹の鋏, 2 鋼龍の堅殻, 2 マレコガネ
Fudou Gusoku : Gaoren Claw x1, Daora Dragonscale x2, Rare Scarab x3 : 1 砦蟹の鋏, 2 鋼の龍鱗, 3 マレコガネ
Garara Helm S : Garara Carapace x5, Terrifying Beak x3, Wyvern Stone x1, Genprey Scale+ x4 : 5 絞蛇竜の堅殻, 3 寒気立つクチバシ, 1 竜玉, 4 ゲネポスの上鱗
Garara Mail S : Garara Hide+ x6, Garara Rattle+ x5, Garara Hide x3, Bird Wyvern Hide+ x3 : 6 絞蛇竜の上皮, 5 絞蛇竜の上鳴甲, 3 絞蛇竜の皮, 3 強靭な鳥竜皮
Garara Vambraces S : Garara Carapace x5, Garara Shell x6, Garara Marrow x2, Genprey Hide+ x3 : 5 絞蛇竜の堅殻, 6 絞蛇竜の甲殻, 2 絞蛇竜の骨髄, 3 ゲネポスの上皮
Garara Faulds S : Garara Hide+ x6, Garara Fang x5, Garara Medulla x1, Slagtoth Hide+ x3 : 6 絞蛇竜の上皮, 5 絞蛇竜の牙, 1 絞蛇竜の延髄, 3 垂皮竜の上皮
Garara Greaves S : Garara Carapace x5, Garara Rattle+ x6, Monster Keenbone x3, Monster Bone L x3 : 5 絞蛇竜の堅殻, 6 絞蛇竜の上鳴甲, 3 尖竜骨, 3 竜骨【大】
Garara Cap S : Garara Carapace x5, Terrifying Beak x3, Wyvern Stone x1, Genprey Scale+ x4 : 5 絞蛇竜の堅殻, 3 寒気立つクチバシ, 1 竜玉, 4 ゲネポスの上鱗
Garara Vest S : Garara Hide+ x6, Garara Rattle+ x5, Garara Hide x3, Bird Wyvern Hide+ x3 : 6 絞蛇竜の上皮, 5 絞蛇竜の上鳴甲, 3 絞蛇竜の皮, 3 強靭な鳥竜皮
Garara Guards S : Garara Carapace x5, Garara Shell x6, Garara Marrow x2, Genprey Hide+ x3 : 5 絞蛇竜の堅殻, 6 絞蛇竜の甲殻, 2 絞蛇竜の骨髄, 3 ゲネポスの上皮
Garara Coat S : Garara Hide+ x6, Garara Fang x5, Garara Medulla x1, Slagtoth Hide+ x3 : 6 絞蛇竜の上皮, 5 絞蛇竜の牙, 1 絞蛇竜の延髄, 3 垂皮竜の上皮
Garara Leggings S : Garara Carapace x5, Garara Rattle+ x6, Monster Keenbone x3, Monster Bone L x3 : 5 絞蛇竜の堅殻, 6 絞蛇竜の上鳴甲, 3 尖竜骨, 3 竜骨【大】
Garara Helm : Garara Rattle x3, Garara Shell x4, Terrifying Beak x1, Genprey Scale x4 : 3 絞蛇竜の鳴甲, 4 絞蛇竜の甲殻, 1 寒気立つクチバシ, 4 ゲネポスの鱗
Garara Mail : Garara Rattle x2, Garara Hide x3, Garara Shell x3, Genprey Hide x3 : 2 絞蛇竜の鳴甲, 3 絞蛇竜の皮, 3 絞蛇竜の甲殻, 3 ゲネポスの皮
Garara Vambraces : Garara Fang x3, Garara Marrow x1, Garara Rattle x2, Slagtoth Hide x3 : 3 絞蛇竜の牙, 1 絞蛇竜の骨髄, 2 絞蛇竜の鳴甲, 3 垂皮竜の皮
Garara Faulds : Garara Shell x5, Garara Fang x4, Garara Hide x2, Monster Bone L x1 : 5 絞蛇竜の甲殻, 4 絞蛇竜の牙, 2 絞蛇竜の皮, 1 竜骨【大】
Garara Greaves : Garara Hide x3, Garara Shell x3, Garara Fang x3, Slagtoth Hide x3 : 3 絞蛇竜の皮, 3 絞蛇竜の甲殻, 3 絞蛇竜の牙, 3 垂皮竜の皮
Garara Cap : Garara Rattle x3, Garara Shell x4, Terrifying Beak x1, Genprey Scale x4 : 3 絞蛇竜の鳴甲, 4 絞蛇竜の甲殻, 1 寒気立つクチバシ, 4 ゲネポスの鱗
Garara Vest : Garara Rattle x2, Garara Hide x3, Garara Shell x3, Genprey Hide x3 : 2 絞蛇竜の鳴甲, 3 絞蛇竜の皮, 3 絞蛇竜の甲殻, 3 ゲネポスの皮
Garara Guards : Garara Fang x3, Garara Marrow x1, Garara Rattle x2, Slagtoth Hide x3 : 3 絞蛇竜の牙, 1 絞蛇竜の骨髄, 2 絞蛇竜の鳴甲, 3 垂皮竜の皮
Garara Coat : Garara Shell x5, Garara Fang x4, Garara Hide x2, Monster Bone L x1 : 5 絞蛇竜の甲殻, 4 絞蛇竜の牙, 2 絞蛇竜の皮, 1 竜骨【大】
Garara Leggings : Garara Hide x3, Garara Shell x3, Garara Fang x3, Slagtoth Hide x3 : 3 絞蛇竜の皮, 3 絞蛇竜の甲殻, 3 絞蛇竜の牙, 3 垂皮竜の皮
Gargwa Mask : Gargwa Feather x3, Iron Ore x10 : 3 丸鳥の羽, 10 鉄鉱石
Garuga Helm S : Garuga Long Ear x2, Rejuvenated Beak x2, Garuga Carapace x3, Garuga Mane x4 : 2 黒狼鳥の地獄耳, 2 イカしたクチバシ, 3 黒狼鳥の堅殻, 4 黒狼鳥のたてがみ
Garuga Mail S : Garuga Scale+ x4, Garuga Carapace x4, Garuga Wing x4, Gendrome Tail x2 : 4 黒狼鳥の上鱗, 4 黒狼鳥の堅殻, 4 黒狼鳥の翼, 2 ドスゲネポスの尾
Garuga Vambraces S : Garuga Scale+ x5, Garuga Carapace x3, Garuga Tail x1, Monster Hardbone x2 : 5 黒狼鳥の上鱗, 3 黒狼鳥の堅殻, 1 黒狼鳥の尻尾, 2 堅竜骨
Garuga Faulds S : Garuga Scale+ x4, Garuga Carapace x4, Inferno Sac x3, Carbalite Ore x2 : 4 黒狼鳥の上鱗, 4 黒狼鳥の堅殻, 3 爆炎袋, 2 カブレライト鉱石
Garuga Greaves S : Garuga Scale+ x5, Garuga Carapace x3, Garuga Wing x2, Hercudrome x4 : 5 黒狼鳥の上鱗, 3 黒狼鳥の堅殻, 2 黒狼鳥の翼, 4 ドスヘラクレス
Garuga Cap S : Garuga Long Ear x2, Rejuvenated Beak x2, Garuga Carapace x3, Garuga Mane x4 : 2 黒狼鳥の地獄耳, 2 イカしたクチバシ, 3 黒狼鳥の堅殻, 4 黒狼鳥のたてがみ
Garuga Vest S : Garuga Scale+ x4, Garuga Carapace x4, Garuga Wing x4, Gendrome Tail x2 : 4 黒狼鳥の上鱗, 4 黒狼鳥の堅殻, 4 黒狼鳥の翼, 2 ドスゲネポスの尾
Garuga Guards S : Garuga Scale+ x5, Garuga Carapace x3, Garuga Tail x1, Monster Hardbone x2 : 5 黒狼鳥の上鱗, 3 黒狼鳥の堅殻, 1 黒狼鳥の尻尾, 2 堅竜骨
Garuga Coat S : Garuga Scale+ x4, Garuga Carapace x4, Inferno Sac x3, Carbalite Ore x2 : 4 黒狼鳥の上鱗, 4 黒狼鳥の堅殻, 3 爆炎袋, 2 カブレライト鉱石
Garuga Leggings S : Garuga Scale+ x5, Garuga Carapace x3, Garuga Wing x2, Hercudrome x4 : 5 黒狼鳥の上鱗, 3 黒狼鳥の堅殻, 2 黒狼鳥の翼, 4 ドスヘラクレス
Garuga Helm : Garuga Ear x2, Sharpened Beak x2, Garuga Shell x3, Garuga Mane x2 : 2 黒狼鳥の耳, 2 尖ったクチバシ, 3 黒狼鳥の甲殻, 2 黒狼鳥のたてがみ
Garuga Mail : Garuga Scale x4, Garuga Shell x5, Garuga Wing x3, Gendrome Hide x2 : 4 黒狼鳥の鱗, 5 黒狼鳥の甲殻, 3 黒狼鳥の翼, 2 ドスゲネポスの皮
Garuga Vambraces : Garuga Scale x5, Garuga Shell x4, Garuga Wing x2, Monster Bone+ x1 : 5 黒狼鳥の鱗, 4 黒狼鳥の甲殻, 2 黒狼鳥の翼, 1 上竜骨
Garuga Faulds : Garuga Scale x4, Garuga Shell x5, Killer Beetle x2, Monster Bone L x2 : 4 黒狼鳥の鱗, 5 黒狼鳥の甲殻, 2 キラビートル, 2 竜骨【大】
Garuga Greaves : Garuga Scale x5, Garuga Shell x4, Gluehopper x4, Gendrome Hide x2 : 5 黒狼鳥の鱗, 4 黒狼鳥の甲殻, 4 のりこねバッタ, 2 ドスゲネポスの皮
Garuga Cap : Garuga Ear x2, Sharpened Beak x2, Garuga Shell x3, Garuga Mane x2 : 2 黒狼鳥の耳, 2 尖ったクチバシ, 3 黒狼鳥の甲殻, 2 黒狼鳥のたてがみ
Garuga Vest : Garuga Scale x4, Garuga Shell x5, Garuga Wing x3, Gendrome Hide x2 : 4 黒狼鳥の鱗, 5 黒狼鳥の甲殻, 3 黒狼鳥の翼, 2 ドスゲネポスの皮
Garuga Guards : Garuga Scale x5, Garuga Shell x4, Garuga Wing x2, Monster Bone+ x1 : 5 黒狼鳥の鱗, 4 黒狼鳥の甲殻, 2 黒狼鳥の翼, 1 上竜骨
Garuga Coat : Garuga Scale x4, Garuga Shell x5, Killer Beetle x2, Monster Bone L x2 : 4 黒狼鳥の鱗, 5 黒狼鳥の甲殻, 2 キラビートル, 2 竜骨【大】
Garuga Leggings : Garuga Scale x5, Garuga Shell x4, Gluehopper x4, Gendrome Hide x2 : 5 黒狼鳥の鱗, 4 黒狼鳥の甲殻, 4 のりこねバッタ, 2 ドスゲネポスの皮
Generu Helm S : Generu Carapace x6, Generu Jaw x3, Generu Tail x2, Aruserutasu Horn+ x1 : 6 重甲虫の堅殻, 3 重甲虫の大顎, 2 重甲虫の円月尾, 1 徹甲虫の尖角
Generu Mail S : Generu Shield+ x4, Generu Tail x4, Generu Extract x1, Quality Sac x4 : 4 重甲虫の堅胸殻, 4 重甲虫の円月尾, 1 重甲エキス, 4 上質な腹袋
Generu Vambraces S : Generu Carapace x6, Generu Claw+ x2, Generu Shield+ x5, Monster Broth x6 : 6 重甲虫の堅殻, 2 重甲虫の鋭爪, 5 重甲虫の堅胸殻, 6 モンスターの濃汁
Generu Faulds S : Aruserutasu Carapace x5, Aruserutasu Wing+ x2, Aruserutasu Horn+ x1, Hercudrome x3 : 5 徹甲虫の堅殻, 2 徹甲虫の薄羽, 1 徹甲虫の尖角, 3 ドスヘラクレス
Generu Greaves S : Generu Claw+ x3, Generu Shield+ x5, Generu Jaw x2, Generu Extract+ x1 : 3 重甲虫の鋭爪, 5 重甲虫の堅胸殻, 2 重甲虫の大顎, 1 濃縮重甲エキス
Generu Cap S : Generu Carapace x6, Generu Jaw x3, Generu Tail x2, Aruserutasu Horn+ x1 : 6 重甲虫の堅殻, 3 重甲虫の大顎, 2 重甲虫の円月尾, 1 徹甲虫の尖角
Generu Vest S : Generu Shield+ x4, Generu Tail x4, Generu Extract x1, Quality Sac x4 : 4 重甲虫の堅胸殻, 4 重甲虫の円月尾, 1 重甲エキス, 4 上質な腹袋
Generu Guards S : Generu Carapace x6, Generu Claw+ x2, Generu Shield+ x5, Monster Broth x6 : 6 重甲虫の堅殻, 2 重甲虫の鋭爪, 5 重甲虫の堅胸殻, 6 モンスターの濃汁
Generu Coat S : Aruserutasu Carapace x5, Aruserutasu Wing+ x2, Aruserutasu Horn+ x1, Hercudrome x3 : 5 徹甲虫の堅殻, 2 徹甲虫の薄羽, 1 徹甲虫の尖角, 3 ドスヘラクレス
Generu Leggings S : Generu Claw+ x3, Generu Shield+ x5, Generu Jaw x2, Generu Extract+ x1 : 3 重甲虫の鋭爪, 5 重甲虫の堅胸殻, 2 重甲虫の大顎, 1 濃縮重甲エキス
Generu Helm : Generu Shell x4, Generu Jaw x2, Generu Tail x1, Aruserutasu Horn x1 : 4 重甲虫の甲殻, 2 重甲虫の大顎, 1 重甲虫の円月尾, 1 徹甲虫の角
Generu Mail : Generu Shield x4, Generu Tail x3, Generu Shell x2, Altaroth Stomach x4 : 4 重甲虫の胸殻, 3 重甲虫の円月尾, 2 重甲虫の甲殻, 4 甲虫の腹袋
Generu Vambraces : Generu Shield x3, Generu Shell x5, Generu Jaw x2, Monster Fluid x3 : 3 重甲虫の胸殻, 5 重甲虫の甲殻, 2 重甲虫の大顎, 3 モンスターの体液
Generu Faulds : Aruserutasu Shell x7, Aruserutasu Wing x3, Aruserutasu Horn x2, Machalite Ore x2 : 7 徹甲虫の甲殻, 3 徹甲虫の羽, 2 徹甲虫の角, 2 マカライト鉱石
Generu Greaves : Generu Claw x2, Generu Shield x4, Generu Extract x1, Sharpened Fang x4 : 2 重甲虫の爪, 4 重甲虫の胸殻, 1 重甲エキス, 4 とがった牙
Generu Cap : Generu Shell x4, Generu Jaw x2, Generu Tail x1, Aruserutasu Horn x1 : 4 重甲虫の甲殻, 2 重甲虫の大顎, 1 重甲虫の円月尾, 1 徹甲虫の角
Generu Vest : Generu Shield x4, Generu Tail x3, Generu Shell x2, Altaroth Stomach x4 : 4 重甲虫の胸殻, 3 重甲虫の円月尾, 2 重甲虫の甲殻, 4 甲虫の腹袋
Generu Guards : Generu Shield x3, Generu Shell x5, Generu Jaw x2, Monster Fluid x3 : 3 重甲虫の胸殻, 5 重甲虫の甲殻, 2 重甲虫の大顎, 3 モンスターの体液
Generu Coat : Aruserutasu Shell x7, Aruserutasu Wing x3, Aruserutasu Horn x2, Machalite Ore x2 : 7 徹甲虫の甲殻, 3 徹甲虫の羽, 2 徹甲虫の角, 2 マカライト鉱石
Generu Leggings : Generu Claw x2, Generu Shield x4, Generu Extract x1, Sharpened Fang x4 : 2 重甲虫の爪, 4 重甲虫の胸殻, 1 重甲エキス, 4 とがった牙
Genprey Helm S : Genprey Scale+ x3, Genprey Hide+ x4, Carbalite Ore x2, Gendrome Head x1 : 3 ゲネポスの上鱗, 4 ゲネポスの上皮, 2 カブレライト鉱石, 1 ドスゲネポスの頭
Genprey Mail S : Gendrome Tail x2, Genprey Scale+ x2, Paralysis Sac x2, Quality Sac x3 : 2 ドスゲネポスの尾, 2 ゲネポスの上鱗, 2 麻痺袋, 3 上質な腹袋
Genprey Vambraces S : Genprey Scale+ x3, Genprey Hide+ x4, Bird Wyvern Stone x1, Carbalite Ore x2 : 3 ゲネポスの上鱗, 4 ゲネポスの上皮, 1 鳥竜玉, 2 カブレライト鉱石
Genprey Faulds S : Gendrome Tail x2, Genprey Scale+ x4, Paralysis Sac x2, Hercudrome x3 : 2 ドスゲネポスの尾, 4 ゲネポスの上鱗, 2 麻痺袋, 3 ドスヘラクレス
Genprey Greaves S : Genprey Scale+ x2, Genprey Hide+ x4, Dragonite Ore x5, Monster Bone+ x3 : 2 ゲネポスの上鱗, 4 ゲネポスの上皮, 5 ドラグライト鉱石, 3 上竜骨
Genprey Cap S : Genprey Scale+ x3, Genprey Hide+ x4, Carbalite Ore x2, Gendrome Head x1 : 3 ゲネポスの上鱗, 4 ゲネポスの上皮, 2 カブレライト鉱石, 1 ドスゲネポスの頭
Genprey Vest S : Gendrome Tail x2, Genprey Scale+ x2, Paralysis Sac x2, Quality Sac x3 : 2 ドスゲネポスの尾, 2 ゲネポスの上鱗, 2 麻痺袋, 3 上質な腹袋
Genprey Guards S : Genprey Scale+ x3, Genprey Hide+ x4, Bird Wyvern Stone x1, Carbalite Ore x2 : 3 ゲネポスの上鱗, 4 ゲネポスの上皮, 1 鳥竜玉, 2 カブレライト鉱石
Genprey Coat S : Gendrome Tail x2, Genprey Scale+ x4, Paralysis Sac x2, Hercudrome x3 : 2 ドスゲネポスの尾, 4 ゲネポスの上鱗, 2 麻痺袋, 3 ドスヘラクレス
Genprey Leggings S : Genprey Scale+ x2, Genprey Hide+ x4, Dragonite Ore x5, Monster Bone+ x3 : 2 ゲネポスの上鱗, 4 ゲネポスの上皮, 5 ドラグライト鉱石, 3 上竜骨
Genprey Helm : Gendrome Hide x2, Genprey Scale x3, Iron Ore x4, Monster Bone S x2 : 2 ドスゲネポスの皮, 3 ゲネポスの鱗, 4 鉄鉱石, 2 竜骨【小】
Genprey Mail : Genprey Hide x3, Genprey Scale x2, Paralysis Sac x1, Iron Ore x3 : 3 ゲネポスの皮, 2 ゲネポスの鱗, 1 麻痺袋, 3 鉄鉱石
Genprey Vambraces : Gendrome Hide x2, Genprey Scale x3, Iron Ore x2, Genprey Fang x5 : 2 ドスゲネポスの皮, 3 ゲネポスの鱗, 2 鉄鉱石, 5 ゲネポスの麻痺牙
Genprey Faulds : Genprey Hide x4, Genprey Scale x3, Iron Ore x2 : 4 ゲネポスの皮, 3 ゲネポスの鱗, 2 鉄鉱石
Genprey Greaves : Gendrome Hide x2, Genprey Scale x2, Iron Ore x4 : 2 ドスゲネポスの皮, 2 ゲネポスの鱗, 4 鉄鉱石
Genprey Cap : Gendrome Hide x2, Genprey Scale x3, Iron Ore x4, Monster Bone S x2 : 2 ドスゲネポスの皮, 3 ゲネポスの鱗, 4 鉄鉱石, 2 竜骨【小】
Genprey Vest : Genprey Hide x3, Genprey Scale x2, Paralysis Sac x1, Iron Ore x3 : 3 ゲネポスの皮, 2 ゲネポスの鱗, 1 麻痺袋, 3 鉄鉱石
Genprey Guards : Gendrome Hide x2, Genprey Scale x3, Iron Ore x2, Genprey Fang x5 : 2 ドスゲネポスの皮, 3 ゲネポスの鱗, 2 鉄鉱石, 5 ゲネポスの麻痺牙
Genprey Coat : Genprey Hide x4, Genprey Scale x3, Iron Ore x2 : 4 ゲネポスの皮, 3 ゲネポスの鱗, 2 鉄鉱石
Genprey Leggings : Gendrome Hide x2, Genprey Scale x2, Iron Ore x4 : 2 ドスゲネポスの皮, 2 ゲネポスの鱗, 4 鉄鉱石
Gore EX Helm : Gore Magala Ticket x1, Gore Magala Horn+ x4, Shagaru Wing+ x5, Guild Ticket+ x1 : 1 黒蝕竜チケット, 4 黒蝕竜の尖触角, 5 天廻龍の上虹翼, 1 ギルドチケットＧ
Gore EX Mail : Gore Magala Ticket x1, Gore Magala Carapace x5, Shagaru Opal x2, Guild Ticket+ x1 : 1 黒蝕竜チケット, 5 黒蝕竜の堅殻, 2 天廻龍の光玉, 1 ギルドチケットＧ
Gore EX Vambraces : Gore Magala Ticket x1, Gore Magala Wing+ x6, Shagaru Carapace x4, Guild Ticket+ x1 : 1 黒蝕竜チケット, 6 黒蝕竜の上暗翼, 4 天廻龍の堅殻, 1 ギルドチケットＧ
Gore EX Faulds : Gore Magala Ticket x1, Shagaru Carapace x5, Gore Magala Onyx x2, Guild Ticket+ x1 : 1 黒蝕竜チケット, 5 天廻龍の堅殻, 2 黒蝕竜の闇玉, 1 ギルドチケットＧ
Gore EX Greaves : Gore Magala Ticket x1, Shagaru Scale+ x8, Gore Magala Claw+ x6, Guild Ticket+ x1 : 1 黒蝕竜チケット, 8 天廻龍の上鱗, 6 黒蝕竜の鋭惨爪, 1 ギルドチケットＧ
Gore Helm S : Gore Magala Horn+ x2, Gore Magala Scale+ x4, Gore Magala Carapace x2, Rare Scarab x3 : 2 黒蝕竜の尖触角, 4 黒蝕竜の上鱗, 2 黒蝕竜の堅殻, 3 マレコガネ
Gore Mail S : Gore Magala Scale+ x3, Gore Magala Onyx x1, Corrupted Dragonscale x5, Remobra Skin+ x5 : 3 黒蝕竜の上鱗, 1 黒蝕竜の闇玉, 5 穢れた竜鱗, 5 翼蛇竜の上皮
Gore Vambraces S : Gore Magala Claw+ x5, Gore Magala Wing+ x2, Gore Magala Carapace x5, Gore Magala Wing x2 : 5 黒蝕竜の鋭惨爪, 2 黒蝕竜の上暗翼, 5 黒蝕竜の堅殻, 2 黒蝕竜の暗翼
Gore Faulds S : Gore Magala Wing+ x2, Gore Magala Carapace x5, Gore Magala Plate x1, Gore Magala Tail x1 : 2 黒蝕竜の上暗翼, 5 黒蝕竜の堅殻, 1 黒蝕竜の逆鱗, 1 黒蝕竜の尻尾
Gore Greaves S : Gore Magala Carapace x5, Gore Magala Scale+ x4, Gore Magala Claw+ x5, Novacrystal x1 : 5 黒蝕竜の堅殻, 4 黒蝕竜の上鱗, 5 黒蝕竜の鋭惨爪, 1 ノヴァクリスタル
Gore EX Cap : Gore Magala Ticket x1, Gore Magala Horn+ x4, Shagaru Wing+ x5, Guild Ticket+ x1 : 1 黒蝕竜チケット, 4 黒蝕竜の尖触角, 5 天廻龍の上虹翼, 1 ギルドチケットＧ
Gore EX Vest : Gore Magala Ticket x1, Gore Magala Carapace x5, Shagaru Opal x2, Guild Ticket+ x1 : 1 黒蝕竜チケット, 5 黒蝕竜の堅殻, 2 天廻龍の光玉, 1 ギルドチケットＧ
Gore EX Guards : Gore Magala Ticket x1, Gore Magala Wing+ x6, Shagaru Carapace x4, Guild Ticket+ x1 : 1 黒蝕竜チケット, 6 黒蝕竜の上暗翼, 4 天廻龍の堅殻, 1 ギルドチケットＧ
Gore EX Coat : Gore Magala Ticket x1, Shagaru Carapace x5, Gore Magala Onyx x2, Guild Ticket+ x1 : 1 黒蝕竜チケット, 5 天廻龍の堅殻, 2 黒蝕竜の闇玉, 1 ギルドチケットＧ
Gore EX Leggings : Gore Magala Ticket x1, Shagaru Scale+ x8, Gore Magala Claw+ x6, Guild Ticket+ x1 : 1 黒蝕竜チケット, 8 天廻龍の上鱗, 6 黒蝕竜の鋭惨爪, 1 ギルドチケットＧ
Gore Cap S : Gore Magala Horn+ x2, Gore Magala Scale+ x4, Gore Magala Carapace x2, Rare Scarab x3 : 2 黒蝕竜の尖触角, 4 黒蝕竜の上鱗, 2 黒蝕竜の堅殻, 3 マレコガネ
Gore Vest S : Gore Magala Scale+ x3, Gore Magala Onyx x1, Corrupted Dragonscale x5, Remobra Skin+ x5 : 3 黒蝕竜の上鱗, 1 黒蝕竜の闇玉, 5 穢れた竜鱗, 5 翼蛇竜の上皮
Gore Guards S : Gore Magala Claw+ x5, Gore Magala Wing+ x2, Gore Magala Carapace x5, Gore Magala Wing x2 : 5 黒蝕竜の鋭惨爪, 2 黒蝕竜の上暗翼, 5 黒蝕竜の堅殻, 2 黒蝕竜の暗翼
Gore Coat S : Gore Magala Wing+ x2, Gore Magala Carapace x5, Gore Magala Plate x1, Gore Magala Tail x1 : 2 黒蝕竜の上暗翼, 5 黒蝕竜の堅殻, 1 黒蝕竜の逆鱗, 1 黒蝕竜の尻尾
Gore Leggings S : Gore Magala Carapace x5, Gore Magala Scale+ x4, Gore Magala Claw+ x5, Novacrystal x1 : 5 黒蝕竜の堅殻, 4 黒蝕竜の上鱗, 5 黒蝕竜の鋭惨爪, 1 ノヴァクリスタル
Gore Helm : Gore Magala Horn x2, Gore Magala Scale x3, Corrupted Dragonscale x3, Aruserutasu Wing x3 : 2 黒蝕竜の触角, 3 黒蝕竜の鱗, 3 穢れた竜鱗, 3 徹甲虫の羽
Gore Mail : Gore Magala Scale x3, Gore Magala Wing x2, Gore Magala Shell x3, Gore Magala Tail x1 : 3 黒蝕竜の鱗, 2 黒蝕竜の暗翼, 3 黒蝕竜の甲殻, 1 黒蝕竜の尻尾
Gore Vambraces : Gore Magala Claw x2, Gore Magala Scale x2, Gore Magala Shell x4, Dragonite Ore x5 : 2 黒蝕竜の惨爪, 2 黒蝕竜の鱗, 4 黒蝕竜の甲殻, 5 ドラグライト鉱石
Gore Faulds : Gore Magala Horn x1, Gore Magala Wing x2, Gore Magala Shell x4, Killer Beetle x3 : 1 黒蝕竜の触角, 2 黒蝕竜の暗翼, 4 黒蝕竜の甲殻, 3 キラビートル
Gore Greaves : Gore Magala Shell x3, Gore Magala Scale x1, Gore Magala Plate x1, Remobra Skin x5 : 3 黒蝕竜の甲殻, 1 黒蝕竜の鱗, 1 黒蝕竜の逆鱗, 5 翼蛇竜の皮
Gore Cap : Gore Magala Horn x2, Gore Magala Scale x3, Corrupted Dragonscale x3, Aruserutasu Wing x3 : 2 黒蝕竜の触角, 3 黒蝕竜の鱗, 3 穢れた竜鱗, 3 徹甲虫の羽
Gore Vest : Gore Magala Scale x3, Gore Magala Wing x2, Gore Magala Shell x3, Gore Magala Tail x1 : 3 黒蝕竜の鱗, 2 黒蝕竜の暗翼, 3 黒蝕竜の甲殻, 1 黒蝕竜の尻尾
Gore Guards : Gore Magala Claw x2, Gore Magala Scale x2, Gore Magala Shell x4, Dragonite Ore x5 : 2 黒蝕竜の惨爪, 2 黒蝕竜の鱗, 4 黒蝕竜の甲殻, 5 ドラグライト鉱石
