Leather Headgear : Warm Pelt x1, Iron Ore x1 : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : Warm Pelt x2 : 2 暖かい毛皮
Leather Belt : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : Warm Pelt x2 : 2 暖かい毛皮
Piscine Mask : Kelbi Horn x2, Airweed x2, Mystery Bone x2 : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : Hydro Hide x2, Broken Shell x2 : 2 水生獣の皮, 2 欠けた貝殻
Piscine Breeches : Hydro Hide x2, Big Fin x1 : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : Earth Crystal x1, Iron Ore x1 : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : Iron Ore x2, Warm Pelt x1 : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : Iron Ore x1, Whetstone x2 : 1 鉄鉱石, 2 砥石
Chainmail Belt : Iron Ore x1, Warm Pelt x2 : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : Iron Ore x2, Warm Pelt x2 : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : Altaroth Stomach x1, Monster Fluid x3, Ice Crystal x3 : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : Altaroth Stomach x2, Altaroth Jaw x2, Ice Crystal x3 : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : Altaroth Jaw x3, Altaroth Stomach x2, Ice Crystal x3 : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Dogi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Kote : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Obi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Hakama : Buy in Tanzia Port (1100z) : ※港店売り
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Alloy S Greaves : Bathycite Ore x3, Carbalite Ore x3, Firestone x3, Isisium x5 : 3 デプスライト鉱石, 3 カブレライト鉱石, 3 紅蓮石, 5 アイシスメタル
Alloy S Cap : Bathycite Ore x1, Carbalite Ore x1, Dragonite Ore x5, Pelagicite Ore x3 : 1 デプスライト鉱石, 1 カブレライト鉱石, 5 ドラグライト鉱石, 3 シーブライト鉱石
Alloy S Vest : Bathycite Ore x2, Carbalite Ore x2, Machalite Ore x7, Iron Ore x10 : 2 デプスライト鉱石, 2 カブレライト鉱石, 7 マカライト鉱石, 10 鉄鉱石
Alloy S Guards : Bathycite Ore x2, Carbalite Ore x3, Machalite Ore x7, Earth Crystal x7 : 2 デプスライト鉱石, 3 カブレライト鉱石, 7 マカライト鉱石, 7 大地の結晶
Alloy S Coat : Bathycite Ore x1, Carbalite Ore x2, Dragonite Ore x5, Pelagicite Ore x5 : 1 デプスライト鉱石, 2 カブレライト鉱石, 5 ドラグライト鉱石, 5 シーブライト鉱石
Alloy S Leggings : Bathycite Ore x3, Carbalite Ore x3, Firestone x3, Isisium x5 : 3 デプスライト鉱石, 3 カブレライト鉱石, 3 紅蓮石, 5 アイシスメタル
Bnahabra S Hat : Bnaha Carapace x2, Bnahabra Shell x3, Bnahabra Spine x2, King Scarab x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 飛甲虫の麻痺針, 2 王族カナブン
Bnahabra S Suit : Bnaha Carapace x2, Bnahabra Shell x3, Monster Broth x2, King Scarab x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 モンスターの濃汁, 2 王族カナブン
Bnahabra S Gloves : Bnaha Carapace x2, Bnahabra Wing x4, Quality Sac x2, Monster Fluid x3 : 2 飛甲虫の堅殻, -2 飛甲虫の羽, 2 上質な腹袋, 3 モンスターの体液
Bnahabra S Coil : Bnaha Carapace x2, Bnahabra Wing x4, Monster Broth x1, King Scarab x2 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 モンスターの濃汁, 2 王族カナブン
Bnahabra S Boots : Bnaha Carapace x2, Bnahabra Wing x4, Quality Sac x1, Monster Fluid x3 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 上質な腹袋, 3 モンスターの体液
Bnahabra S Headpiece : Bnaha Carapace x2, Bnahabra Shell x3, Bnahabra Spine x2, King Scarab x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 飛甲虫の麻痺針, 2 王族カナブン
Bnahabra S Vest : Bnaha Carapace x2, Bnahabra Shell x3, Monster Broth x2, King Scarab x2 : 2 飛甲虫の堅殻, 3 飛甲虫の甲殻, 2 モンスターの濃汁, 2 王族カナブン
Bnahabra S Sleeves : Bnaha Carapace x2, Bnahabra Wing x4, Quality Sac x2, Monster Fluid x3 : 2 飛甲虫の堅殻, -2 飛甲虫の羽, 2 上質な腹袋, 3 モンスターの体液
Bnahabra S Coat : Bnaha Carapace x2, Bnahabra Wing x4, Monster Broth x1, King Scarab x2 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 モンスターの濃汁, 2 王族カナブン
Bnahabra S Pants : Bnaha Carapace x2, Bnahabra Wing x4, Quality Sac x1, Monster Fluid x3 : 2 飛甲虫の堅殻, 4 飛甲虫の羽, 1 上質な腹袋, 3 モンスターの体液
Rhenoplos S Helm : Rheno Carapace x3, Rhenoplos Scalp x1, Ice Crystal x3 : 3 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Mail : Rheno Carapace x1, Rhenoplos Scalp x1, Carbalite Ore x2 : 1 草食竜の堅殻, 1 草食竜の頭殻, 2 カブレライト鉱石
Rhenoplos S Braces : Rheno Carapace x3, Monster Bone M x4, Ice Crystal x3 : 3 草食竜の堅殻, 4 竜骨【中】, 3 氷結晶
Rhenoplos S Coil : Rheno Carapace x1, Rhenoplos Scalp x1, Ice Crystal x3 : 1 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Greaves : Rheno Carapace x3, Monster Bone S x6, Carbalite Ore x2 : 3 草食竜の堅殻, 6 竜骨【小】, 2 カブレライト鉱石
Rhenoplos S Cap : Rheno Carapace x3, Rhenoplos Scalp x1, Ice Crystal x3 : 3 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Vest : Rheno Carapace x1, Rhenoplos Scalp x1, Carbalite Ore x2 : 1 草食竜の堅殻, 1 草食竜の頭殻, 2 カブレライト鉱石
Rhenoplos S Guards : Rheno Carapace x3, Monster Bone M x4, Ice Crystal x3 : 3 草食竜の堅殻, 4 竜骨【中】, 3 氷結晶
Rhenoplos S Coat : Rheno Carapace x1, Rhenoplos Scalp x1, Ice Crystal x3 : 1 草食竜の堅殻, 1 草食竜の頭殻, 3 氷結晶
Rhenoplos S Leggings : Rheno Carapace x3, Monster Bone S x6, Carbalite Ore x2 : 3 草食竜の堅殻, 6 竜骨【小】, 2 カブレライト鉱石
Slagtoth Hood : Slagtoth Hide+ x2, Bathycite Ore x2, Bullfango Pelt x3 : 2 垂皮竜の上皮, 2 デプスライト鉱石, 3 ファンゴの毛皮
Slagtoth Cloak : Slagtoth Hide+ x4, Bathycite Ore x1, Bullfango Pelt x3 : 4 垂皮竜の皮, 1 デプスライト鉱石, 3 ファンゴの毛皮
Slagtoth Cowl : Slagtoth Hide+ x2, Bathycite Ore x2, Bullfango Pelt x3 : 2 垂皮竜の上皮, 2 デプスライト鉱石, 3 ファンゴの毛皮
Slagtoth Wrap : Slagtoth Hide+ x4, Bathycite Ore x1, Bullfango Pelt x3 : 4 垂皮竜の皮, 1 デプスライト鉱石, 3 ファンゴの毛皮
Dianthus Cappa : Gloamgrass Bud x1, Dragon Toadstool x3, Gargwa Feather x5, Bumblepumpkin x3 : 1 落陽草の花, 3 マンドラゴラ, 5 丸鳥の羽, 3 ペピポパンプキン
Dianthus Jacket : Gloamgrass Bud x1, Dragon Toadstool x3, Lightcrystal x6, Isisium x1 : 1 落陽草の花, 3 マンドラゴラ, 6 ライトクリスタル, 1 アイシスメタル
Dianthus Sleeves : Gloamgrass Bud x1, Fucium Ore x3, Gourmet Voucher x1, Blue Cutthroat x3 : 1 落陽草の花, 3 ユニオン鉱石, 1 高級お食事券, 3 イチノタチウオ
Dianthus Skirt : Gloamgrass Bud x1, Dragon Toadstool x3, Voucher x3, Humspun Conch x3 : 1 落陽草の花, 3 マンドラゴラ, 3 お食事券, 3 うなりうねり貝
Dianthus Breeches : Gloamgrass Bud x1, Fucium Ore x3, Lightcrystal x4, Bathycite Ore x1 : 1 落陽草の花, 3 ユニオン鉱石, 4 ライトクリスタル, 1 デプスライト鉱石
Campanile Cappa : Gloamgrass Bud x1, Dragon Toadstool x3, Gargwa Feather x5, Bumblepumpkin x3 : 1 落陽草の花, 3 マンドラゴラ, 5 丸鳥の羽, 3 ペピポパンプキン
Campanile Jacket : Gloamgrass Bud x1, Dragon Toadstool x3, Lightcrystal x6, Isisium x1 : 1 落陽草の花, 3 マンドラゴラ, 6 ライトクリスタル, 1 アイシスメタル
Campanile Sleeves : Gloamgrass Bud x1, Fucium Ore x3, Gourmet Voucher x1, Blue Cutthroat x3 : 1 落陽草の花, 3 ユニオン鉱石, 1 高級お食事券, 3 イチノタチウオ
Campanile Skirt : Gloamgrass Bud x1, Dragon Toadstool x3, Voucher x3, Humspun Conch x3 : 1 落陽草の花, 3 マンドラゴラ, 3 お食事券, 3 うなりうねり貝
Campanile Breeches : Gloamgrass Bud x1, Fucium Ore x3, Lightcrystal x4, Bathycite Ore x1 : 1 落陽草の花, 3 ユニオン鉱石, 4 ライトクリスタル, 1 デプスライト鉱石
Jaggi S Helm : G.Jaggi Hide+ x4, G.Jaggi Claw x2, G.Jaggi Hide x2, Pelagicite Ore x2 : 4 狗竜の上皮, 2 狗竜の爪, 2 狗竜の皮, 2 シーブライト鉱石
Jaggi S Mail : G.Jaggi Claw+ x4, G.Jaggi Hide+ x4, Jaggi Hide x3, Carbalite Ore x2 : 4 狗竜の尖爪, 4 狗竜の上皮, 3 ジャギィの皮, 2 カブレライト鉱石
Jaggi S Vambraces : G.Jaggi Claw+ x4, King's Frill x1, Bird Wyvern Gem x1, Pelagicite Ore x2 : 4 狗竜の尖爪, 1 王者のエリマキ, 1 鳥竜玉, 2 シーブライト鉱石
Jaggi S Faulds : G.Jaggi Hide+ x4, King's Frill x2, Jaggi Scale+ x4, Dragonite Ore x2 : 4 狗竜の上皮, 2 王者のエリマキ, 4 ジャギィの上鱗, 2 ドラグライト鉱石
Jaggi S Greaves : Jaggi Scale+ x4, Jaggi Hide x4, Avian Finebone x7, Dragonite Ore x2 : 4 ジャギィの上鱗, 4 ジャギィの皮, 7 上質な鳥竜骨, 2 ドラグライト鉱石
Jaggi S Cap : G.Jaggi Hide+ x4, G.Jaggi Claw x2, G.Jaggi Hide x2, Pelagicite Ore x2 : 4 狗竜の上皮, 2 狗竜の爪, 2 狗竜の皮, 2 シーブライト鉱石
Jaggi S Vest : G.Jaggi Claw+ x4, G.Jaggi Hide+ x4, Jaggi Hide x3, Carbalite Ore x2 : 4 狗竜の尖爪, 4 狗竜の上皮, 3 ジャギィの皮, 2 カブレライト鉱石
Jaggi S Guards : G.Jaggi Claw+ x4, King's Frill x1, Bird Wyvern Gem x1, Pelagicite Ore x2 : 4 狗竜の尖爪, 1 王者のエリマキ, 1 鳥竜玉, 2 シーブライト鉱石
Jaggi S Coat : G.Jaggi Hide+ x4, King's Frill x2, Jaggi Scale+ x4, Dragonite Ore x2 : 4 狗竜の上皮, 2 王者のエリマキ, 4 ジャギィの上鱗, 2 ドラグライト鉱石
Jaggi S Leggings : Jaggi Scale+ x4, Jaggi Hide x4, Avian Finebone x7, Dragonite Ore x2 : 4 ジャギィの上鱗, 4 ジャギィの皮, 7 上質な鳥竜骨, 2 ドラグライト鉱石
Arzuros S Helm : Arzuros Carapace x3, Stoutbone x2, Arzuros Pelt x3, Hercudrome x3 : 3 青熊獣の堅殻, 2 堅牢な骨, 3 青熊獣の毛, 3 ドスヘラクレス
Arzuros S Mail : Arzuros Pelt+ x5, Arzuros Carapace x2, Bnaha Carapace x3, King Scarab x2 : 5 青熊獣の剛毛, 2 青熊獣の堅殻, 3 飛甲虫の堅殻, 2 王族カナブン
Arzuros S Vambraces : Arzuros Carapace x3, Arzuros Brace+ x3, Arzuros Pelt x3, Quality Sac x2 : 3 青熊獣の堅殻, 3 青熊獣の堅腕甲, 3 青熊獣の毛, 2 上質な腹袋
Arzuros S Faulds : Arzuros Pelt+ x5, Stoutbone x2, Arzuros Shell x3, Hercudrome x3 : 5 青熊獣の剛毛, 2 堅牢な骨, 3 青熊獣の甲殻, 3 ドスヘラクレス
Arzuros S Greaves : Arzuros Brace+ x2, Arzuros Pelt+ x4, Bnahabra Shell x3, King Scarab x2 : 2 青熊獣の堅腕甲, 4 青熊獣の剛毛, 3 飛甲虫の甲殻, 2 王族カナブン
Arzuros S Cap : Arzuros Carapace x3, Stoutbone x2, Arzuros Pelt x3, Hercudrome x3 : 3 青熊獣の堅殻, 2 堅牢な骨, 3 青熊獣の毛, 3 ドスヘラクレス
Arzuros S Vest : Arzuros Pelt+ x5, Arzuros Carapace x2, Bnaha Carapace x3, King Scarab x2 : 5 青熊獣の剛毛, 2 青熊獣の堅殻, 3 飛甲虫の堅殻, 2 王族カナブン
Arzuros S Guards : Arzuros Carapace x3, Arzuros Brace+ x3, Arzuros Pelt x3, Quality Sac x2 : 3 青熊獣の堅殻, 3 青熊獣の堅腕甲, 3 青熊獣の毛, 2 上質な腹袋
Arzuros S Coat : Arzuros Pelt+ x5, Stoutbone x2, Arzuros Shell x3, Hercudrome x3 : 5 青熊獣の剛毛, 2 堅牢な骨, 3 青熊獣の甲殻, 3 ドスヘラクレス
Arzuros S Leggings : Arzuros Brace+ x2, Arzuros Pelt+ x4, Bnahabra Shell x3, King Scarab x2 : 2 青熊獣の堅腕甲, 4 青熊獣の剛毛, 3 飛甲虫の甲殻, 2 王族カナブン
Wroggi S Helm : G.Wroggi Hide+ x3, King's Beak x2, Bird Wyvern Gem x1, Hercudrome x6 : 3 毒狗竜の上皮, 2 王者のクチバシ, 1 鳥竜玉, 6 ドスヘラクレス
Wroggi S Mail : Toxin Sac x2, G.Wroggi Brace x2, Wroggi Scale+ x2, Hercudrome x6 : 2 猛毒袋, 2 毒狗竜の腕甲, 2 フロギィの上鱗, 6 ドスヘラクレス
Wroggi S Vambraces : G.Wroggi Brace+ x3, G.Wroggi Hide+ x3, Toxin Sac x4, Bathycite Ore x1 : 3 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 4 猛毒袋, 1 デプスライト鉱石
Wroggi S Faulds : Wroggi Scale+ x4, Wroggi Hide x7, Avian Finebone x5, Bathycite Ore x3 : 4 フロギィの上鱗, 7 フロギィの皮, 5 上質な鳥竜骨, 3 デプスライト鉱石
Wroggi S Greaves : G.Wroggi Brace+ x4, G.Wroggi Hide+ x3, G.Wroggi Hide x3, King Scarab x4 : 4 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 3 毒狗竜の皮, 4 王族カナブン
Wroggi S Cap : G.Wroggi Hide+ x3, King's Beak x2, Bird Wyvern Gem x1, Hercudrome x6 : 3 毒狗竜の上皮, 2 王者のクチバシ, 1 鳥竜玉, 6 ドスヘラクレス
Wroggi S Vest : Toxin Sac x2, G.Wroggi Brace x2, Wroggi Scale+ x2, Hercudrome x6 : 2 猛毒袋, 2 毒狗竜の腕甲, 2 フロギィの上鱗, 6 ドスヘラクレス
Wroggi S Guards : G.Wroggi Brace+ x3, G.Wroggi Hide+ x3, Toxin Sac x4, Bathycite Ore x1 : 3 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 4 猛毒袋, 1 デプスライト鉱石
Wroggi S Coat : Wroggi Scale+ x4, Wroggi Hide x7, Avian Finebone x5, Bathycite Ore x3 : 4 フロギィの上鱗, 7 フロギィの皮, 5 上質な鳥竜骨, 3 デプスライト鉱石
Wroggi S Leggings : G.Wroggi Brace+ x4, G.Wroggi Hide+ x3, G.Wroggi Hide x3, King Scarab x4 : 4 毒狗竜の堅腕甲, 3 毒狗竜の上皮, 3 毒狗竜の皮, 4 王族カナブン
Baggi S Helm : G.Baggi Hide+ x4, G.Baggi Claw x2, G.Baggi Hide x2, Gracium x3 : 4 眠狗竜の上皮, 2 眠狗竜の爪, 2 眠狗竜の皮, 3 グラシスメタル
Baggi S Mail : G.Baggi Claw+ x4, King's Crest x1, Bird Wyvern Gem x3, Isisium x4 : 4 眠狗竜の尖爪, 1 王者のトサカ, 3 鳥竜玉, 4 アイシスメタル
Baggi S Vambraces : G.Baggi Claw+ x3, G.Baggi Hide+ x3, Coma Sac x4, Isisium x4 : 3 眠狗竜の尖爪, 3 眠狗竜の上皮, 4 昏睡袋, 4 アイシスメタル
Baggi S Coil : G.Baggi Hide+ x3, King's Crest x1, Baggi Scale+ x6, Lightcrystal x2 : 3 眠狗竜の上皮, 1 王者のトサカ, 6 バギィの上鱗, 2 ライトクリスタル
Baggi S Greaves : Baggi Scale+ x2, Baggi Hide x6, Avian Finebone x7, Gracium x3 : 2 バギィの上鱗, 6 バギィの皮, 7 上質な鳥竜骨, 3 グラシスメタル
Baggi S Cap : G.Baggi Hide+ x4, G.Baggi Claw x2, G.Baggi Hide x2, Gracium x3 : 4 眠狗竜の上皮, 2 眠狗竜の爪, 2 眠狗竜の皮, 3 グラシスメタル
Baggi S Vest : G.Baggi Claw+ x4, King's Crest x1, Bird Wyvern Gem x3, Isisium x4 : 4 眠狗竜の尖爪, 1 王者のトサカ, 3 鳥竜玉, 4 アイシスメタル
Baggi S Guards : G.Baggi Claw+ x3, G.Baggi Hide+ x3, Coma Sac x4, Isisium x4 : 3 眠狗竜の尖爪, 3 眠狗竜の上皮, 4 昏睡袋, 4 アイシスメタル
Baggi S Coat : G.Baggi Hide+ x3, King's Crest x1, Baggi Scale+ x6, Lightcrystal x2 : 3 眠狗竜の上皮, 1 王者のトサカ, 6 バギィの上鱗, 2 ライトクリスタル
Baggi S Leggings : Baggi Scale+ x2, Baggi Hide x6, Avian Finebone x7, Gracium x3 : 2 バギィの上鱗, 6 バギィの皮, 7 上質な鳥竜骨, 3 グラシスメタル
Lagombi S Helm : Lagombi Ear+ x2, Stoutbone x2, Baggi Hide x5, Gracium x3 : 2 白兎獣の大耳, 2 堅牢な骨, 5 バギィの皮, 3 グラシスメタル
Lagombi S Mail : Lagom Plastron+ x3, Lagombi Pelt+ x3, Baggi Scale+ x6, King Scarab x2 : 3 白兎獣の堅腹甲, 3 白獣獣の剛毛, 6 バギィの上鱗, 2 王族カナブン
Lagombi S Vambraces : Lagombi Claw+ x2, Lagombi Pelt x3, Lagom Plastron+ x3, King Scarab x2 : 2 白兎獣の凍爪, 3 白兎獣の毛, 3 白兎獣の堅腹甲, 2 王族カナブン
Lagombi S Faulds : Lagombi Pelt+ x3, Lagombi Claw+ x2, Stoutbone x3, Hercudrome x8 : 3 白兎獣の剛毛, 2 白兎獣の凍爪, 3 堅牢な骨, 8 ドスヘラクレス
Lagombi S Greaves : Lagombi Pelt+ x3, Lagom Plastron+ x3, Lagombi Claw+ x1, Velvety Hide x8 : 3 白兎獣の剛毛, 3 白兎獣の堅腹甲, 1 白兎獣の凍爪, 8 なめらかな皮
Lagombi S Cap : Lagombi Ear+ x2, Stoutbone x2, Baggi Hide x5, Gracium x3 : 2 白兎獣の大耳, 2 堅牢な骨, 5 バギィの皮, 3 グラシスメタル
Lagombi S Vest : Lagom Plastron+ x3, Lagombi Pelt+ x3, Baggi Scale+ x6, King Scarab x2 : 3 白兎獣の堅腹甲, 3 白獣獣の剛毛, 6 バギィの上鱗, 2 王族カナブン
Lagombi S Guards : Lagombi Claw+ x2, Lagombi Pelt x3, Lagom Plastron+ x3, King Scarab x2 : 2 白兎獣の凍爪, 3 白兎獣の毛, 3 白兎獣の堅腹甲, 2 王族カナブン
Lagombi S Coat : Lagombi Pelt+ x3, Lagombi Claw+ x2, Stoutbone x3, Hercudrome x8 : 3 白兎獣の剛毛, 2 白兎獣の凍爪, 3 堅牢な骨, 8 ドスヘラクレス
Lagombi S Leggings : Lagombi Pelt+ x3, Lagom Plastron+ x3, Lagombi Claw+ x1, Velvety Hide x8 : 3 白兎獣の剛毛, 3 白兎獣の堅腹甲, 1 白兎獣の凍爪, 8 なめらかな皮
Qurupeco S Helm : Wonderful Beak x2, Qurupeco Wing x2, Monster Bone+ x1, Hercudrome x3 : 2 ステキなクチバシ, 2 彩鳥の翼, 1 上竜骨, 3 ドスヘラクレス
Qurupeco S Mail : Qurupeco Scale+ x3, Vivid Feather x2, Monster Bone+ x1, King Scarab x2 : 3 彩鳥の上鱗, 2 極彩色の羽根, 1 上竜骨, 2 王族カナブン
Qurupeco S Vambraces : Qurupeco Scale+ x3, Flintstone x1, Qurupeco Feather x4, King Scarab x2 : 3 彩鳥の上鱗, 1 火打石, 4 彩鳥の羽根, 2 王族カナブン
Qurupeco S Coil : Qurupeco Wing x2, Qurupeco Scale+ x3, Monster Keenbone x1, Killer Beetle x5 : 2 彩鳥の翼, 3 彩鳥の上鱗, 1 尖竜骨, 5 キラビートル
Qurupeco S Greaves : Qurupeco Wing x3, Qurupeco Scale+ x3, Vivid Feather x2, Hercudrome x3 : 3 彩鳥の翼, 3 彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
Qurupeco S Cap : Wonderful Beak x2, Qurupeco Wing x2, Monster Bone+ x1, Hercudrome x3 : 2 ステキなクチバシ, 2 彩鳥の翼, 1 上竜骨, 3 ドスヘラクレス
Qurupeco S Vest : Qurupeco Scale+ x3, Vivid Feather x2, Monster Bone+ x1, King Scarab x2 : 3 彩鳥の上鱗, 2 極彩色の羽根, 1 上竜骨, 2 王族カナブン
Qurupeco S Guards : Qurupeco Scale+ x3, Flintstone x1, Qurupeco Feather x4, King Scarab x2 : 3 彩鳥の上鱗, 1 火打石, 4 彩鳥の羽根, 2 王族カナブン
Qurupeco S Coat : Qurupeco Wing x2, Qurupeco Scale+ x3, Monster Keenbone x1, Killer Beetle x5 : 2 彩鳥の翼, 3 彩鳥の上鱗, 1 尖竜骨, 5 キラビートル
Qurupeco S Leggings : Qurupeco Wing x3, Qurupeco Scale+ x3, Vivid Feather x2, Hercudrome x3 : 3 彩鳥の翼, 3 彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
Qurupeco U Helm : C.Peco Wing x1, Wonderful Beak x3, Monster Bone+ x2, King Scarab x2 : 1 紅彩鳥の翼, 3 ステキなクチバシ, 2 上竜骨, 2 王族カナブン
Qurupeco U Mail : C.Peco Scale+ x3, Vivid Feather x2, Monster Keenbone x1, King Scarab x2 : 3 紅彩鳥の上鱗, 2 極彩色の羽根, 1 尖竜骨, 2 王族カナブン
Qurupeco U Vambraces : Voltstone x3, C.Peco Scale+ x3, Vivid Feather x2, Hercudrome x3 : 3 電気石, 3 紅彩鳥の上鱗, 2 極彩色の羽根, 3 ドスヘラクレス
