Yukumo Kasa : 1 Yukumo Wood, 1 Gagua Feather
Yukumo Dogi : 2 Yukumo Wood, 2 Ivy
Yukumo Kote : 2 Yukumo Wood, 1 Ivy
Yukumo Obi : 1 Yukumo Wood, 2 Iron Ore
Yukumo Hakama : 2 Yukumo Wood, 2 Carpenterbug
Leather Headgear : 1 Warm Pelt, 1 Iron Ore
Leather Vest : 1 Bullfango Pelt, 1 Iron Ore
Leather Gloves : 2 Warm Pelt
Leather Belt : 1 Bullfango Pelt, 1 Iron Ore
Leather Pants : 2 Warm Pelt
Chainmail Headgear : 1 Earth Crystal, 1 Iron Ore
Chainmail Vest : 2 Iron Ore, 1 Yukumo Wood
Chainmail Gloves : 1 Iron Ore, 2 Yukumo Wood
Chainmail Belt : 1 Iron Ore, 2 Warm Pelt
Chainmail Pants : 2 Iron Ore, 2 Yukumo Wood
Loc Lac Shawl : 1 Altaroth Stomach, 3 Monster Fluid, 3 Ice Crystal
Loc Lac Kilt : 2 Altaroth Stomach, 2 Altaroth Jaw, 3 Ice Crystal
Loc Lac Boots : 3 Altaroth Jaw, 2 Altaroth Stomach, 3 Ice Crystal
Hunter's Helm : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Mail : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Vambraces : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Faulds : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Greaves : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Hunter's Cap : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Vest : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Guards : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Coat : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Leggings : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Bone Helm : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Mail : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Vambraces : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Faulds : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Greaves : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Bone Cap : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Vest : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Guards : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Coat : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Leggings : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Alloy Helm : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Mail : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Vambraces : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coil : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Greaves : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Alloy Cap : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Vest : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Guards : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coat : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Leggings : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Obituary Gamba/Butterfly Gamba : 1 Great Swallowtail, 1 Hercudrome, 3 Monster Fluid, 10 Snakebee Larva
Obituary Caput/Butterfly Caput : 1 Great Swallowtail, 3 Thunderbug, 3 Pale Extract, 10 Flashbug
Obituary Pectus/Butterfly Pectus : 2 Great Swallowtail, 3 Sound Cricket, 3 Pale Extract, 10 Earbug
Obituary Brasso/Butterfly Brasso : 1 Great Swallowtail, 1 Hercudrome, 5 Carpenterbug, 10 Bitterbug
Obituary Cocusa/Butterfly Cocusa : 2 Great Swallowtail, 2 Hercudrome, 4 Killer Beetle, 10 Bonhopper
Obituary Femur/Butterfly Femur : 1 Great Swallowtail, 1 Hercudrome, 3 Monster Fluid, 10 Snakebee Larva
Barioth Helm : 2 Amber Fang, 3 Barioth Pelt, 2 Barioth Shell, 6 Killer Beetle
Barioth Mail : 3 Barioth Shell, 1 Barioth Tail, 1 Barioth Spike, 3 Hercudrome
Barioth Vambraces : 1 Barioth Claw, 3 Barioth Shell, 4 Frost Sac, 6 Velvety Hide
Barioth Faulds : 1 Amber Fang, 1 Barioth Spike, 2 Monster Bone+, 4 Urkusus Belly
Barioth Greaves : 4 Barioth Pelt, 2 Barioth Shell, 1 Barioth Claw, 6 Urkusus Pelt
Barioth Cap : 2 Amber Fang, 3 Barioth Pelt, 2 Barioth Shell, 6 Killer Beetle
Barioth Vest : 3 Barioth Shell, 1 Barioth Tail, 1 Barioth Spike, 3 Hercudrome
Barioth Guards : 1 Barioth Claw, 3 Barioth Shell, 4 Frost Sac, 6 Velvety Hide
Barioth Coat : 1 Amber Fang, 1 Barioth Spike, 2 Monster Bone+, 4 Urkusus Belly
Barioth Leggings : 4 Barioth Pelt, 2 Barioth Shell, 1 Barioth Claw, 6 Urkusus Pelt
Guild Bard Lobos/Scholar's Beret : 1 Commendation, 3 HotSpringTicket, 3 Super Thunderbug, 3 Jinouga Conductor
Guild Bard Bolero/Scholar's Blouse : 1 Commendation, 1 Drink Ticket, 5 Dragonite Ore, 4 Eerie Psn Gland
Guild Bard Braces/Scholar's Gloves : 1 Commendation, 3 HotSpringTicket, 5 Hercudrome, 2 Uragaan Scute
Guild Bard Coil/Scholar's Skirt : 1 Commendation, 1 Drink Ticket, 1 Lava Chunk, 3 Fertile Mud
Guild Bard Boots/Scholar's Socks : 1 Commendation, 3 HotSpringTicket, 2 Fire Stone, 4 Bright Fluid
Guild Bard Hat/Scholar's Cap : 1 Commendation, 3 HotSpringTicket, 3 Super Thunderbug, 3 Jinouga Conductor
Guild Bard Vest/Scholar's Vest : 1 Commendation, 1 Drink Ticket, 5 Dragonite Ore, 4 Eerie Psn Gland
Guild Bard Sleeves/Scholar's Sleeves : 1 Commendation, 3 HotSpringTicket, 5 Hercudrome, 2 Uragaan Scute
Guild Bard Coat/Scholar's Mini : 1 Commendation, 1 Drink Ticket, 1 Lava Chunk, 3 Fertile Mud
Guild Bard Gaiters/Scholar's Sandals : 1 Commendation, 3 HotSpringTicket, 2 Fire Stone, 4 Bright Fluid
Ancient Mail : 3 Rustshard, 4 Dragonite Ore, 12 Ice Crystal, 18 Whetstone
Ancient Vambraces : 2 Rustshard, 2 Lightcrystal, 10 Earth Crystal, 16 Stone
Ancient Greaves : 3 Rustshard, 6 Bealite Ore, 8 Machalite Ore, 14 Iron Ore
Ancient Vest : 3 Rustshard, 4 Dragonite Ore, 12 Ice Crystal, 18 Whetstone
Ancient Guards : 2 Rustshard, 2 Lightcrystal, 10 Earth Crystal, 16 Stone
Ancient Leggings : 3 Rustshard, 6 Bealite Ore, 8 Machalite Ore, 14 Iron Ore
Nargacuga Helm : 2 Narga TailSpike, 3 Black Narga Plt, 2 Nargacuga Wing, 4 Aoashira Shell
Nargacuga Mail : 3 Narga Scale, 4 Nargacuga Fang, 3 Black Narga Plt, 6 Zuwaroposu Hide
Nargacuga Vambraces : 3 Nargacuga Wing, 3 Narga Scale, 1 Narga Marrow, 6 Aoashira Pelt
Nargacuga Faulds : 3 Black Narga Plt, 1 Nargacuga Tail, 3 Narga Scale, 6 Killer Beetle
Nargacuga Greaves : 6 Nargacuga Fang, 3 Narga Scale, 2 Narga TailSpike, 3 Hercudrome
Nargacuga Cap : 2 Narga TailSpike, 3 Black Narga Plt, 2 Nargacuga Wing, 4 Aoashira Shell
Nargacuga Vest : 3 Narga Scale, 4 Nargacuga Fang, 3 Black Narga Plt, 6 Zuwaroposu Hide
Nargacuga Guards : 3 Nargacuga Wing, 3 Narga Scale, 1 Narga Marrow, 6 Aoashira Pelt
Nargacuga Coat : 3 Black Narga Plt, 1 Nargacuga Tail, 3 Narga Scale, 6 Killer Beetle
Nargacuga Leggings : 6 Nargacuga Fang, 3 Narga Scale, 2 Narga TailSpike, 3 Hercudrome
Jinouga Helm : 1 Jinouga Horn, 2 Jinouga Fur, 2 Jinouga Shell, 3 Bulldrome Hide
Jinouga Mail : 1 Jinouga Fur, 2 Jinouga Shell, 2 Jinouga Conductor, 10 Thunderbug
Jinouga Vambraces : 3 Jinouga Claw, 1 Jinouga Plate, 2 Jinouga Fur, 2 Super Thunderbug
Jinouga Faulds : 3 Jinouga Shell, 2 Jinouga Fur, 1 Jinouga Tail, 3 Bulldrome Hide
Jinouga Greaves : 3 Jinouga Conductor, 3 Jinouga Shell, 3 Jinouga Claw, 3 Super Thunderbug
Jinouga Cap : 1 Jinouga Horn, 2 Jinouga Fur, 2 Jinouga Shell, 3 Bulldrome Hide
Jinouga Vest : 1 Jinouga Fur, 2 Jinouga Shell, 2 Jinouga Conductor, 10 Thunderbug
Jinouga Guards : 3 Jinouga Claw, 1 Jinouga Plate, 2 Jinouga Fur, 2 Super Thunderbug
Jinouga Coat : 3 Jinouga Shell, 2 Jinouga Fur, 1 Jinouga Tail, 3 Bulldrome Hide
Jinouga Leggings : 3 Jinouga Conductor, 3 Jinouga Shell, 3 Jinouga Claw, 3 Super Thunderbug
Rathalos Helm : 3 Rathalos Scale, 3 Rathalos Shell, 1 Rath Talon, 3 Dragonite Ore
Rathalos Mail : 2 Rathalos Shell, 4 Rathalos Scale, 3 Rathalos Webbng, 6 Bealite Ore
Rathalos Vambraces : 1 Rathalos Tail, 1 Rath Talon, 2 Rath Marrow, 3 Dragonite Ore
Rathalos Faulds : 3 Rathalos Webbng, 1 Rathalos Plate, 3 Monster Bone+, 1 Fire Stone
Rathalos Greaves : 3 Rathalos Shell, 4 Rathalos Scale, 2 Flame Sac, 5 Bealite Ore
Rathalos Cap : 3 Rathalos Scale, 3 Rathalos Shell, 1 Rath Talon, 3 Dragonite Ore
Rathalos Vest : 2 Rathalos Shell, 4 Rathalos Scale, 3 Rathalos Webbng, 6 Bealite Ore
Rathalos Guards : 1 Rathalos Tail, 1 Rath Talon, 2 Rath Marrow, 3 Dragonite Ore
Rathalos Coat : 3 Rathalos Webbng, 1 Rathalos Plate, 3 Monster Bone+, 1 Fire Stone
Rathalos Leggings : 3 Rathalos Shell, 4 Rathalos Scale, 2 Flame Sac, 5 Bealite Ore
Tigrex Helm : 1 Tigrex Scalp, 4 Tigrex Fang, 3 Tigrex Scale, 5 Immature Sponge
Tigrex Mail : 5 Tigrex Claw, 3 Tigrex Shell, 1 Tigrex Tail, 6 Ludroth Hide
Tigrex Vambraces : 4 Tigrex Fang, 3 Tigrex Scale, 4 Tigrex Claw, 2 Great Jaggi Hide
Tigrex Faulds : 4 Tigrex Shell, 4 Tigrex Scale, 2 Monster Bone+, 3 Great Jaggi Claw
Tigrex Greaves : 4 Tigrex Scale, 5 Tigrex Claw, 3 Tigrex Shell, 3 Great Jaggi Hide
Tigrex Cap : 1 Tigrex Scalp, 4 Tigrex Fang, 3 Tigrex Scale, 5 Immature Sponge
Tigrex Vest : 5 Tigrex Claw, 3 Tigrex Shell, 1 Tigrex Tail, 6 Ludroth Hide
Tigrex Guards : 4 Tigrex Fang, 3 Tigrex Scale, 4 Tigrex Claw, 2 Great Jaggi Hide
Tigrex Coat : 4 Tigrex Shell, 4 Tigrex Scale, 2 Monster Bone+, 3 Great Jaggi Claw
Tigrex Leggings : 4 Tigrex Scale, 5 Tigrex Claw, 3 Tigrex Shell, 3 Great Jaggi Hide
Dobol Helm : 2 Dobol Horn, 4 Dobol Shell, 3 Monster Bone+, 3 Bulldrome Hide
Dobol Mail : 3 Dobol Kelp, 2 Dobol Horn, 4 Dobol Shell, 4 Bullfango Pelt
Dobol Vambraces : 4 Dobol Shell, 2 Dobol Tail, 4 Mossy Carapace, 3 Bulldrome Hide
Dobol Faulds : 4 Mossy Carapace, 4 Dobol Shell, 1 Dobol Tail Bone, 6 Zuwaroposu Hide
Dobol Greaves : 2 Dobol Tail, 4 Mossy Carapace, 2 Dobol Kelp, 4 Bullfango Pelt
Dobol Cap : 2 Dobol Horn, 4 Dobol Shell, 3 Monster Bone+, 3 Bulldrome Hide
Dobol Vest : 3 Dobol Kelp, 2 Dobol Horn, 4 Dobol Shell, 4 Bullfango Pelt
Dobol Guards : 4 Dobol Shell, 2 Dobol Tail, 4 Mossy Carapace, 3 Bulldrome Hide
Dobol Coat : 4 Mossy Carapace, 4 Dobol Shell, 1 Dobol Tail Bone, 6 Zuwaroposu Hide
Dobol Leggings : 2 Dobol Tail, 4 Mossy Carapace, 2 Dobol Kelp, 4 Bullfango Pelt
Agnaktor Helm : 5 Agnaktor Shell, 1 Agnaktor Beak, 3 Agnaktor Hide, 5 Dragonite Ore
Agnaktor Mail : 4 Agnaktor Hide, 2 Agnaktor Fin, 5 Agnaktor Shell, 5 Great Froggi Hide
Agnaktor Vambraces : 8 Uroktor Scale, 4 Monster Bone M, 8 Lava Chunk, 1 Fire Stone
Agnaktor Faulds : 6 Agnaktor Scale, 2 Agnaktor Fin, 1 Agnaktor Claw, 1 Agnaktor Tail
Agnaktor Greaves : 1 Agnaktor Claw, 4 Molten Chest Shl, 3 Agnaktor Hide, 3 Great Frggi Arm
Agnaktor Cap : 5 Agnaktor Shell, 1 Agnaktor Beak, 3 Agnaktor Hide, 5 Dragonite Ore
Agnaktor Vest : 4 Agnaktor Hide, 2 Agnaktor Fin, 5 Agnaktor Shell, 5 Great Froggi Hide
Agnaktor Guards : 8 Uroktor Scale, 4 Monster Bone M, 8 Lava Chunk, 1 Fire Stone
Agnaktor Coat : 6 Agnaktor Scale, 2 Agnaktor Fin, 1 Agnaktor Claw, 1 Agnaktor Tail
Agnaktor Leggings : 1 Agnaktor Claw, 4 Molten Chest Shl, 3 Agnaktor Hide, 3 Great Frggi Arm
Diablos Helm : 2 Diablos Tailcase, 4 Diablos Shell, 2 Diablos Ridge, 5 Great Froggi Hide
Diablos Mail : 2 Twisted Horn, 3 Diablos Ridge, 3 Diablos Shell, 3 Great Frggi Arm
Diablos Vambraces : 3 Diablos Fang, 1 Diablos Marrow, 2 Twisted Horn, 3 Rhenoplos Shell
Diablos Faulds : 4 Diablos Shell, 4 Diablos Fang, 1 Majestic Horn, 4 Renoplos Scalp
Diablos Greaves : 3 Diablos Ridge, 3 Diablos Shell, 3 Diablos Fang, 3 Rhenoplos Shell
Diablos Cap : 2 Diablos Tailcase, 4 Diablos Shell, 2 Diablos Ridge, 5 Great Froggi Hide
Diablos Vest : 2 Twisted Horn, 3 Diablos Ridge, 3 Diablos Shell, 3 Great Frggi Arm
Diablos Guards : 3 Diablos Fang, 1 Diablos Marrow, 2 Twisted Horn, 3 Rhenoplos Shell
Diablos Coat : 4 Diablos Shell, 4 Diablos Fang, 1 Majestic Horn, 4 Renoplos Scalp
Diablos Leggings : 3 Diablos Ridge, 3 Diablos Shell, 3 Diablos Fang, 3 Rhenoplos Shell
Uragaan Helm : 3 Uragaan Shell, 1 Uragaan Marrow, 4 Uragaan Scale, 3 Dragonite Ore
Uragaan Mail : 1 Uragaan Jaw, 1 Uragaan Scute, 3 Uragaan Shell, 2 Rangurotora Shell
Uragaan Vambraces : 3 Uragaan Scale, 1 Uragaan Jaw, 3 Lava Chunk, 1 Fire Stone
Uragaan Faulds : 2 Uragaan Scute, 3 Uragaan Scale, 2 Monster Bone+, 3 Rangurotora Shell
Uragaan Greaves : 4 Uragaan Shell, 4 Uragaan Scale, 3 Lava Chunk, 3 Rangrtora Scute
Uragaan Cap : 3 Uragaan Shell, 1 Uragaan Marrow, 4 Uragaan Scale, 3 Dragonite Ore
Uragaan Vest : 1 Uragaan Jaw, 1 Uragaan Scute, 3 Uragaan Shell, 2 Rangurotora Shell
Uragaan Guards : 3 Uragaan Scale, 1 Uragaan Jaw, 3 Lava Chunk, 1 Fire Stone
Uragaan Coat : 2 Uragaan Scute, 3 Uragaan Scale, 2 Monster Bone+, 3 Rangurotora Shell
Uragaan Leggings : 4 Uragaan Shell, 4 Uragaan Scale, 3 Lava Chunk, 3 Rangrtora Scute
Yamato Kabuto/Hinata Hachigane : 2 Sturdy Fang, 5 Mohran Scale, 5 Mohran Shell, 10 Pelagicite Ore
Yamato Muneate/Hinata Muneate : 5 Mohran Shell, 5 Mohran Scale, 3 Sturdy Fang, 3 Tigrex Fang
Yamato Kote/Hinata Kote : 6 Mohran Scale, 3 Sturdy Fang, 2 Mohran Brace, 1 Twisted Horn
Yamato Koshiate/Hinata Koshiate : 3 Mohran Brace, 5 Mohran Shell, 3 ElderDragonBlood, 1 Dobol Horn
Yamato Gusoku/Hinata Hakama : 6 Mohran Scale, 4 Mohran Shell, 1 Earh Dragongem, 1 Agnaktor Claw
Mutsu Eboshi/Amagi Hachigane : 2 Sturdy Fang, 5 Mohran Scale, 5 Mohran Shell, 10 Pelagicite Ore
Mutsu Muneate/Amagi Muneate : 5 Mohran Shell, 5 Mohran Scale, 3 Sturdy Fang, 3 Tigrex Fang
Mutsu Kote/Amagi Kote : 6 Mohran Scale, 3 Sturdy Fang, 2 Mohran Brace, 1 Twisted Horn
Mutsu Koshiate/Amagi Koshiate : 3 Mohran Brace, 5 Mohran Shell, 3 ElderDragonBlood, 1 Dobol Horn
Mutsu Gusoku/Amagi Hakama : 6 Mohran Scale, 4 Mohran Shell, 1 Earh Dragongem, 1 Agnaktor Claw
Yukumo - Sky Kasa : 1 Yukumo Wood+, 5 Yukumo Wood, 5 Gagua Feather
Yukumo - Sky Dogi : 2 Yukumo Wood+, 3 Yukumo Wood, 3 Gagua Feather
Yukumo - Sky Kote : 2 Yukumo Wood+, 3 Yukumo Wood, 3 Gagua Feather
Yukumo - Sky Obi : 1 Yukumo Wood+, 5 Yukumo Wood, 2 Carbalite Ore
Yukumo - Sky Hakama : 3 Yukumo Wood+, 2 Yukumo Wood, 2 King Scarab
Yukumo - Earth Kasa : 1 Yukumo Wood+, 5 Yukumo Wood, 5 Gagua Feather
Yukumo - Earth Dogi : 2 Yukumo Wood+, 3 Yukumo Wood, 3 Gagua Feather
Yukumo - Earth Kote : 2 Yukumo Wood+, 3 Yukumo Wood, 3 Gagua Feather
Yukumo - Earth Obi : 1 Yukumo Wood+, 5 Yukumo Wood, 2 Carbalite Ore
Yukumo - Earth Hakama : 3 Yukumo Wood+, 2 Yukumo Wood, 2 King Scarab
Leather S Helm : 1 Carbalite Ore, 2 Warm Pelt, 3 Bullfango Pelt
Leather S Mail : 1 High Qualty Pelt, 1 Carbalite Ore, 3 Bulldrome Hide
Leather S Vambraces : 2 High Qualty Pelt, 2 Warm Pelt, 4 Velvety Hide
Leather S Faulds : 1 Carbalite Ore, 2 Bulldrome Hide, 3 Bullfango Pelt
Leather S Greaves : 2 High Qualty Pelt, 2 Warm Pelt, 4 Velvety Hide
Leather S Cap : 1 Carbalite Ore, 2 Warm Pelt, 3 Bullfango Pelt
Leather S Vest : 1 High Qualty Pelt, 1 Carbalite Ore, 3 Bulldrome Hide
Leather S Guards : 2 High Qualty Pelt, 2 Warm Pelt, 4 Velvety Hide
Leather S Coat : 1 Carbalite Ore, 2 Bulldrome Hide, 3 Bullfango Pelt
Leather S Legging : 2 High Qualty Pelt, 2 Warm Pelt, 4 Velvety Hide
Chainmail S Helm : 1 Carbalite Ore, 2 Machalite Ore, 5 Iron Ore
Chainmail S Armor : 2 Carbalite Ore, 1 Pelagicite Ore, 2 Earth Crystal, 2 Yukumo Wood+
Chainmail S Vambraces : 2 Carbalite Ore, 2 Isisium, 2 Earth Crystal
Chainmail S Faulds : 1 Carbalite Ore, 1 Pelagicite Ore, 2 Earth Crystal, 2 Yukumo Wood+
Chainmail S Greaves : 2 Carbalite Ore, 2 Machalite Ore, 5 Iron Ore
Chainmail S Cap : 1 Carbalite Ore, 2 Machalite Ore, 5 Iron Ore
Chainmail S Vest : 2 Carbalite Ore, 1 Pelagicite Ore, 2 Earth Crystal, 2 Yukumo Wood+
Chainmail S Guards : 2 Carbalite Ore, 2 Isisium, 2 Earth Crystal
Chainmail S Coat : 1 Carbalite Ore, 1 Pelagicite Ore, 2 Earth Crystal, 2 Yukumo Wood+
Chainmail S Leggings : 2 Carbalite Ore, 2 Machalite Ore, 5 Iron Ore
Hunter's S Helm : 2 Bathycite Ore, 2 King Scarab, 5 Machalite Ore, 5 Iron Ore
Hunter's S Mail : 1 Carbalite Ore, 3 Jaggi Scale+, 3 Isisium, 5 Iron Ore
Hunter's S Vambraces : 2 Bathycite Ore, 2 Jaggi Scale+, 2 Earth Crystal, 2 Monster Bone L
Hunter's S Faulds : 1 Bulldrome Hide+, 3 High Qualty Pelt, 5 Bullfango Pelt, 5 Dragonite Ore
Hunter's S Greaves : 2 Bulldrome Hide+, 1 Carbalite Ore, 3 Yukumo Wood+, 2 Earth Crystal
Hunter's S Cap : 2 Bathycite Ore, 2 King Scarab, 5 Machalite Ore, 5 Iron Ore
Hunter's S Vest : 1 Carbalite Ore, 3 Jaggi Scale+, 3 Isisium, 5 Iron Ore
Hunter's S Guards : 2 Bathycite Ore, 2 Jaggi Scale+, 1 Earth Crystal, 2 Monster Bone L
Hunter's S Coat : 1 Bulldrome Hide+, 3 High Qualty Pelt, 5 Bullfango Pelt, 5 Dragonite Ore
Hunter's S Leggings : 2 Bulldrome Hide+, 1 Carbalite Ore, 3 Yukumo Wood+, 2 Earth Crystal
Loc Lac S Shawl : 1 Quality Sac, 2 Monster Broth, 5 Ice Crystal
Loc Lac S Kilt : 2 Quality Sac, 3 Altaroth Jaw, 4 Monster Fluid
Loc Lac S Boots : 3 Quality Sac, 3 Altaroth Jaw, 3 Isisium
Loc Lac S Vest : 1 Quality Sac, 2 Monster Broth, 5 Ice Crystal
Loc Lac S Coat : 2 Quality Sac, 3 Altaroth Jaw, 4 Monster Fluid
Loc Lac S Gaiters : 3 Quality Sac, 3 Altaroth Jaw, 3 Isisium
Bone S Helm : 2 Bird Wyvern Bone, 3 Quality Fin, 3 Unknown Skull
Bone S Mail : 1 Stout Bone, 5 Monster Bone S, 5 Sharpened Fang
Bone S Vambraces : 2 Bird Wyvern Bone, 1 Monster Bone L, 5 Sharpened Fang
Bone S Faulds : 1 Stout Bone, 2 Monster Bone M, 10 Mystery Bone
Bone S Greaves : 2 Bird Wyvern Bone, 3 Quality Fin, 2 Monster Bone+
Bone S Cap : 2 Bird Wyvern Bone, 3 Quality Fin, 3 Unknown Skull
Bone S Vest : 1 Stout Bone, 5 Monster Bone S, 5 Sharpened Fang
Bone S Guards : 2 Bird Wyvern Bone, 1 Monster Bone L, 5 Sharpened Fang
Bone S Coat : 1 Stout Bone, 2 Monster Bone M, 10 Mystery Bone
Bone S Leggings : 2 Bird Wyvern Bone, 3 Quality Fin, 2 Monster Bone+
Alloy S Helm : 1 Bathycite Ore, 1 Carbalite Ore, 5 Dragonite Ore, 3 Pelagicite Ore
Alloy S Mail : 2 Bathycite Ore, 2 Carbalite Ore, 7 Machalite Ore, 10 Iron Ore
Alloy S Vambraces : 2 Bathycite Ore, 3 Carbalite Ore, 7 Machalite Ore, 7 Earth Crystal
Alloy S Coil : 1 Bathycite Ore, 2 Carbalite Ore, 5 Dragonite Ore, 5 Bealite Ore
Alloy S Greaves : 3 Bathycite Ore, 3 Carbalite Ore, 3 Fire Stone, 5 Isisium
Alloy S Cap : 1 Bathycite Ore, 1 Carbalite Ore, 5 Dragonite Ore, 3 Pelagicite Ore
Alloy S Vest : 2 Bathycite Ore, 2 Carbalite Ore, 7 Machalite Ore, 10 Iron Ore
Alloy S Guards : 2 Bathycite Ore, 3 Carbalite Ore, 7 Machalite Ore, 7 Earth Crystal
Alloy S Coat : 1 Bathycite Ore, 2 Carbalite Ore, 5 Dragonite Ore, 5 Bealite Ore
Alloy S Leggings : 3 Bathycite Ore, 3 Carbalite Ore, 3 Fire Stone, 5 Isisium
Rhenoplos S Helm : 3 Rheno Carapace, 1 Renoplos Scalp, 3 Ice Crystal
Rhenoplos S Mail : 1 Rheno Carapace, 1 Renoplos Scalp, 2 Carbalite Ore
Rhenoplos S Vambraces : 3 Rheno Carapace, 4 Monster Bone M, 3 Ice Crystal
Rhenoplos S Coil : 1 Rheno Carapace, 1 Renoplos Scalp, 3 Ice Crystal
Rhenoplos S Greaves : 3 Rheno Carapace, 6 Monster Bone S, 2 Carbalite Ore
Rhenoplos S Cap : 3 Rheno Carapace, 1 Renoplos Scalp, 3 Ice Crystal
Rhenoplos S Vest : 1 Rheno Carapace, 1 Renoplos Scalp, 2 Carbalite Ore
Rhenoplos S Guards : 3 Rheno Carapace, 4 Monster Bone M, 3 Ice Crystal
Rhenoplos S Coat : 1 Rheno Carapace, 1 Renoplos Scalp, 3 Ice Crystal
Rhenoplos S Leggings : 3 Rheno Carapace, 6 Monster Bone S, 2 Carbalite Ore
Zuwaroposu S Hood : 2 Zuwaroposu Hide+, 2 Bulldrome Hide+, 3 Bullfango Pelt
Zuwaroposu S Mantle : 4 Zuwaroposu Hide+, 1 Bulldrome Hide+, 3 Bullfango Pelt
Zuwaroposu S Cap : 2 Zuwaroposu Hide+, 2 Bulldrome Hide+, 3 Bullfango Pelt
Zuwaroposu S Vest : 4 Zuwaroposu Hide+, 1 Bulldrome Hide+, 3 Bullfango Pelt
Bnahabra S Hat : 2 BnahabraCarapace, 3 Bnahabra Shell, 5 Bnahabra Stinger, 2 King Scarab
Bnahabra S Suit : 2 BnahabraCarapace, 3 Bnahabra Shell, 2 Monster Broth, 2 King Scarab
Bnahabra S Glove : 2 BnahabraCarapace, 4 Bnahabra Wing, 2 Quality Sac, 3 Monster Fluid
Bnahabra S Coil : 2 BnahabraCarapace, 4 Bnahabra Wing, 1 Monster Broth, 2 King Scarab
Bnahabra S Boots : 2 BnahabraCarapace, 4 Bnahabra Wing, 1 Quality Sac, 3 Monster Fluid
Bnahabra S Cap : 2 BnahabraCarapace, 3 Bnahabra Shell, 5 Bnahabra Stinger, 2 King Scarab
Bnahabra S Vest : 2 BnahabraCarapace, 3 Bnahabra Shell, 2 Monster Broth, 2 King Scarab
Bnahabra S Cuffs : 2 BnahabraCarapace, 4 Bnahabra Wing, 2 Quality Sac, 3 Monster Fluid
Bnahabra S Coat : 2 BnahabraCarapace, 4 Bnahabra Wing, 1 Monster Broth, 2 King Scarab
Bnahabra S Pants : 2 BnahabraCarapace, 4 Bnahabra Wing, 1 Quality Sac, 3 Monster Fluid
Jaggi S Helm : 4 Great Jaggi Hide+, 2 Great Jaggi Claw, 2 Great Jaggi Hide, 2 Pelagicite Ore
Jaggi S Mail : 4 Great Jaggi Claw+, 4 Great Jaggi Hide+, 3 Jaggi Hide, 2 Carbalite Ore
Jaggi S Vambraces : 4 Great Jaggi Claw+, 1 King's Frill, 1 Brd Wyvern Gem, 2 Pelagicite Ore
Jaggi S Faulds : 4 Great Jaggi Hide+, 2 King's Frill, 4 Jaggi Scale+, 2 Dragonite Ore
Jaggi S Greaves : 4 Jaggi Scale+, 4 Jaggi Hide, 7 Bird Wyvern Bone, 2 Dragonite Ore
Jaggi S Cap : 4 Great Jaggi Hide+, 2 Great Jaggi Claw, 2 Great Jaggi Hide, 2 Pelagicite Ore
Jaggi S Vest : 4 Great Jaggi Claw+, 4 Great Jaggi Hide+, 3 Jaggi Hide, 2 Carbalite Ore
Jaggi S Guards : 4 Great Jaggi Claw+, 1 King's Frill, 1 Brd Wyvern Gem, 2 Pelagicite Ore
Jaggi S Coat : 4 Great Jaggi Hide+, 2 King's Frill, 4 Jaggi Scale+, 2 Dragonite Ore
